Business Name,Address,City,State,Zip Code,Business Type,IT Type,Business Description,Year Established,Website,Longitude,Latitude,Location
Lighter,284 Broadway,Cambridge,MA,02139,Technology,"Nutrition, Software, Wellness",Lighter is a personalized meal planning and tracking tool to help people to eat better.,01/01/2013 12:00:00 AM,https://www.lighter.world,-71.0979015,42.36799,POINT (-71.0979015 42.36799)
Stemgent,222 Third St #2323,Cambridge,MA,02142,Life Sciences,"Biotechnology, Human Resources, Search Engine","Stemgent is a provider of reagents, services and training for scientists who study cellular reprogramming (iPS cells).",01/01/2007 12:00:00 AM,http://www.stemgent.com,-71.0802024,42.3671614,POINT (-71.0802024 42.3671614)
evaluate.xyz,185 Alewife Brook Pkwy Ste 210,Cambridge,MA,02138,Technology,"Analytics, Blockchain, Collectibles, Cryptocurrency, Non-Fungible Token (NFT), Web Apps","Trade NFTs on Flow. Search for trading partners, swap NFTs, and shop across marketplaces.",03/08/2021 12:00:00 AM,https://evaluate.xyz,-71.1423026,42.3906853,POINT (-71.1423026 42.3906853)
One Earth Designs,1045 Massachusetts Ave,Cambridge,MA,02138,Technology,"Energy, Social Entrepreneurship, Solar",One Earth Designs develops high-performance solar cookers that reduce fuel consumption and exposure to toxic stove pollution.,01/01/2012 12:00:00 AM,http://www.oneearthdesigns.com,-71.1126553,42.3700648,POINT (-71.1126553 42.3700648)
KEW Group,840 Memorial Dr,Cambridge,MA,02139,Life Sciences,"Biotechnology, Genetics, Medical Device, Oncology, Therapeutics",KEW Group is a personalized oncology management company that provides DNA based genomic testing and interpretation services.,01/01/2009 12:00:00 AM,https://kewinc.com,-71.1153903,42.3630726,POINT (-71.1153903 42.3630726)
ReversingLabs,222 Third St,Cambridge,MA,02142,Technology,"Analytics, Cyber Security, Mobile, Security",ReversingLabs delivers game changing threat detection and analysis solutions.,01/01/2009 12:00:00 AM,http://www.reversinglabs.com/,-71.0802024,42.3671614,POINT (-71.0802024 42.3671614)
Civetta Therapeutics,10 Wilson Rd,Cambridge,MA,02138,Life Sciences,"Biotechnology, Life Science, Therapeutics",Civetta Therapeutics is a cancer therapeutics company to advance new medicines through small molecule targeting of beta-propeller domains.,01/01/2019 12:00:00 AM,https://www.civettatherapeutics.com/,-71.1501523,42.3924129,POINT (-71.1501523 42.3924129)
Vision Medicines,100 Cambridgeside Pl Suite 2,Cambridge,MA,02141,Life Sciences,Biotechnology,Vision Medicines is a promising drug candidate to treat Stargardt disease.,01/01/2013 12:00:00 AM,http://visionmedicines.com/,-71.0765225,42.3675905,POINT (-71.0765225 42.3675905)
Apic Bio,35 Cambridgepark Dr Suite 350,Cambridge,MA,02140,Life Sciences,"Biotechnology, Health Care, Life Science, Pharmaceutical","Apic Bio is a gene therapy company that develops treatment options for rare, undertreated neurological and liver diseases.",01/01/2017 12:00:00 AM,https://www.apic-bio.com,-71.1435055,42.3948758,POINT (-71.1435055 42.3948758)
Relativity6,45 Prospect St,Cambridge,MA,02139,Technology,"Artificial Intelligence (AI), Auto Insurance, Insurance, InsurTech, Machine Learning, Predictive Analytics",Relativity6 is The Industry Classification API.,01/01/2016 12:00:00 AM,https://www.relativity6.com,-71.1036825,42.3665085,POINT (-71.1036825 42.3665085)
